t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
29.77999,0,0,-1.392887,0,0,0.1009646,0,0,0,0,-1.999216,-0.02814785
29.79999,0,0,-1.390868,0,0,0.1009646,0,0,0,0,-1.99977,-0.02769749
29.81999,0,0,-1.388849,0,0,0.1009646,0,0,0,0,-2.000315,-0.02725433
29.83999,0,0,-1.386829,0,0,0.1009646,0,0,0,0,-2.000852,-0.02681826
29.85999,0,0,-1.38481,0,0,0.1009646,0,0,0,0,-2.00138,-0.02638917
29.87999,0,0,-1.382791,0,0,0.1009646,0,0,0,0,-2.001899,-0.02596694
29.89999,0,0,-1.380772,0,0,0.1009646,0,0,0,0,-2.00241,-0.02555147
29.91999,0,0,-1.378752,0,0,0.1009646,0,0,0,0,-2.002913,-0.02514265
29.93999,0,0,-1.376733,0,0,0.1009646,0,0,0,0,-2.003407,-0.02474036
29.95999,0,0,-1.374714,0,0,0.1009646,0,0,0,0,-2.003894,-0.02434452
29.97999,0,0,-1.372694,0,0,0.1009646,0,0,0,0,-2.004373,-0.02395501
29.99999,0,0,-1.370675,0,0,0.1009646,0,0,0,0,-2.004845,-0.02357173
30.01999,0,0,-1.368656,0,0,0.1009646,0,0,0,0,-2.005309,-0.02319458
30.03999,0,0,-1.366637,0,0,0.1009646,0,0,0,0,-2.005765,-0.02282346
30.05999,0,0,-1.364617,0,0,0.1009646,0,0,0,0,-2.006214,-0.02245829
30.07999,0,0,-1.362598,0,0,0.1009646,0,0,0,0,-2.006656,-0.02209896
30.09999,0,0,-1.360579,0,0,0.1009646,0,0,0,0,-2.007091,-0.02174537
30.11999,0,0,-1.358559,0,0,0.1009646,0,0,0,0,-2.007519,-0.02139745
30.13999,0,0,-1.35654,0,0,0.1009646,0,0,0,0,-2.00794,-0.02105509
30.15999,0,0,-1.354521,0,0,0.1009646,0,0,0,0,-2.008355,-0.02071821
30.17999,0,0,-1.352502,0,0,0.1009646,0,0,0,0,-2.008762,-0.02038671
30.19999,0,0,-1.350482,0,0,0.1009646,0,0,0,0,-2.009164,-0.02006053
30.21999,0,0,-1.348463,0,0,0.1009646,0,0,0,0,-2.009558,-0.01973956
30.23999,0,0,-1.346444,0,0,0.1009646,0,0,0,0,-2.009947,-0.01942373
30.25999,0,0,-1.344424,0,0,0.1009646,0,0,0,0,-2.010329,-0.01911295
30.27999,0,0,-1.342405,0,0,0.1009646,0,0,0,0,-2.010705,-0.01880714
30.29999,0,0,-1.340386,0,0,0.1009646,0,0,0,0,-2.011075,-0.01850623
30.31999,0,0,-1.338367,0,0,0.1009646,0,0,0,0,-2.01144,-0.01821013
30.33999,0,0,-1.336347,0,0,0.1009646,0,0,0,0,-2.011798,-0.01791877
30.35999,0,0,-1.334328,0,0,0.1009646,0,0,0,0,-2.012151,-0.01763207
30.37999,0,0,-1.332309,0,0,0.1009646,0,0,0,0,-2.012497,-0.01734995
30.39999,0,0,-1.330289,0,0,0.1009646,0,0,0,0,-2.012839,-0.01707235
30.41999,0,0,-1.32827,0,0,0.1009646,0,0,0,0,-2.013175,-0.0167992
30.43999,0,0,-1.326251,0,0,0.1009646,0,0,0,0,-2.013505,-0.01653041
30.45999,0,0,-1.324232,0,0,0.1009646,0,0,0,0,-2.013831,-0.01626592
30.47999,0,0,-1.322212,0,0,0.1009646,0,0,0,0,-2.014151,-0.01600567
30.49999,0,0,-1.320193,0,0,0.1009646,0,0,0,0,-2.014466,-0.01574958
30.51999,0,0,-1.318174,0,0,0.1009646,0,0,0,0,-2.014776,-0.01549758
30.53999,0,0,-1.316154,0,0,0.1009646,0,0,0,0,-2.015081,-0.01524962
30.55999,0,0,-1.314135,0,0,0.1009646,0,0,0,0,-2.015381,-0.01500563
30.57999,0,0,-1.312116,0,0,0.1009646,0,0,0,0,-2.015676,-0.01476554
30.59999,0,0,-1.310097,0,0,0.1009646,0,0,0,0,-2.015967,-0.01452929
30.61999,0,0,-1.308077,0,0,0.1009646,0,0,0,0,-2.016253,-0.01429682
30.63999,0,0,-1.306058,0,0,0.1009646,0,0,0,0,-2.016534,-0.01406807
